date,total
2029-07-19,996.788667624156
2034-07-30,1181.0170366884154
2028-07-23,1224.9310191031207
2025-08-19,995.7074741361457
2025-12-26,1399.4634787172276
2035-03-28,1315.0690109185546
2034-02-15,1104.477682805832
2032-12-23,1109.5235914493423
2033-04-22,1185.3663857374897
2035-09-04,1247.9173477939514
2027-01-29,1406.8993535399318
2034-09-25,1053.295332445184
2035-11-07,1019.5040687148652
2030-07-14,1274.8362392843972
2025-10-09,1293.6877790053686
2030-11-04,1049.3029749820018
2028-12-13,1173.7479034919102
2027-07-22,1123.2612903629904
2027-03-04,1202.0882841475238
2026-05-10,1366.5487015505303
2031-02-20,1304.0783597933587
2035-10-15,1347.7866596255476
2029-07-11,1207.1994968969566
2030-06-18,1123.044720613416
2033-09-15,1077.1456190569659
2027-11-01,1312.8187127925523
2029-06-20,1111.7668787601715
2026-11-08,1337.2565125158717
2033-10-24,1085.2606954664286
2029-05-09,1317.305500269892
2034-09-12,1190.81863397913
2027-05-03,1024.177131195979
2032-04-27,1344.6658018767844
2028-09-10,973.9069655263281
2030-11-23,1011.672849742829
2030-06-22,1270.7292201285015
2034-03-29,1249.437235385456
2031-09-15,1289.4762183462099
2025-06-15,1147.8118366593949
2025-02-26,1252.5333267449332
2025-06-16,1252.490650833823
2026-07-17,1369.7523739741825
2025-12-06,1241.9671654569386
2030-09-11,985.5538216654693
2032-08-04,1275.9074586393715
2025-11-04,1358.5134718984302
2034-12-21,1252.1248456620065
2035-06-09,1162.62368099161
2034-03-27,1457.917053050841
2036-01-24,1335.0954170238058
2033-05-21,1082.3557514898737
2031-12-13,1142.4534243327448
2031-02-23,936.97486088391
2027-12-18,1309.4564746085762
2030-05-13,1177.7114561021674
2034-03-23,1190.2738586527578
2036-02-23,1258.5618099771268
2030-03-03,1124.7049424507932
2030-10-10,1093.423420034528
2028-07-18,1036.160153917887
2025-09-09,1324.6248115967176
2028-08-25,1242.2583936054323
2029-09-03,1164.4423527550425
2025-12-09,1253.7184147561516
2028-08-06,1200.9265953373717
2035-06-06,1175.9700076530157
2028-03-24,1000.6642597618064
2026-03-02,983.6322923530762
2034-12-08,1096.7416509111615
2030-06-07,1066.3979973089079
2030-03-05,1395.2999375495228
2035-06-15,1171.2044253865006
2028-07-24,1184.4618891834054
2032-10-14,1065.4895352272408
2034-05-17,1128.6791958085514
2025-12-14,1360.2294033147152
2025-03-30,1200.6238230858648
2032-10-02,1176.1927738997847
2028-03-08,954.2462634286074
2027-11-03,1359.2050270115024
2036-01-03,1297.0200370767566
2032-01-22,1225.5642448048511
2027-02-01,1209.6444508831228
2034-05-14,1348.4409924002105
2026-06-13,1140.7357344160052
2034-02-22,1361.5831191192847
2035-04-29,1059.950283245171
2029-12-15,1086.4492072048763
2034-03-17,1019.5207747845433
2026-11-17,1194.1641517023309
2030-02-02,1212.5299181482187
2034-07-24,1274.2106361725805
2031-11-26,1169.6204254947552
2028-01-20,982.1334851288243
2025-08-20,1308.7213036786386
2028-03-09,1017.2070999085211
2029-09-20,1043.5191289142192
2032-12-02,1181.808010962362
2029-06-23,1104.622907307206
2027-08-19,1254.8049448190734
2034-01-25,1247.3928149659205
2034-08-17,1419.0949123824828
2029-11-25,1234.9204096349456
2025-08-23,1090.4592347747357
2035-11-23,1050.197817390413
2033-09-22,1168.0512597482912
2036-05-17,1429.4018882362773
2031-12-05,1136.5292525516577
2036-03-05,1029.5046610333302
2030-04-16,1336.5241667773673
2033-09-07,1130.0237026174577
2025-08-22,1375.8036394511407
2033-11-23,976.7008332000927
2035-09-02,1407.1174538471766
2028-10-15,1265.0492940266374
2025-07-14,1203.4441140522715
2030-09-06,1239.2751076490656
2025-06-13,1058.1156276523316
2032-04-29,1058.769220217383
2026-07-21,1432.2666956782418
2031-05-22,1126.6542712804983
2033-09-14,1352.5798988086221
2028-12-04,1058.153590218841
2027-10-15,1031.7676265729135
2031-05-14,1159.0474176813855
2026-03-24,1085.5610016193923
2026-06-11,1192.3383868488631
2033-05-09,1323.0018366067477
2030-12-05,1040.9055578880882
2035-09-18,1506.28236965012
2033-05-06,1288.9294126662844
2032-04-02,1159.4223411572564
2035-10-20,930.3140573113085
2026-05-21,1195.0389160992336
2027-05-22,1295.2319098888502
2035-07-26,1136.5053762875762
2032-01-23,1262.9942163700507
2030-01-09,1107.5719735458638
2029-07-13,1188.4784070555288
2025-07-12,1256.511913973043
